Filme,Genero,Estúdio,Diretor,Bilheteria,Critica,Ano_Lancamento
Barbie,Aventura,Mattel,Greta Gerwig,R$ 1.4B,"6,8",2023
Super Mario Bros,Animação,Ilumantion,Aaron Horvath,R$ 1.4B,7,2023
Oppenheimer,Drama,Universal,Christopher Nolan,R$ 952M,"8,3",2023
Guardiões da Galáxia Vol. 3,Super heroi,Disney,James Gun,R$ 845M,8,2023
Velozes e Furiosos 10,Ação,Universal,Louis Leterrier,R$ 704M,"5,7",2023
Avatar 2,Aventura,Disney,James Cameron,R$ 2.3B,"7,5",2022
top gun maverick,Ação,Paramount,Joseph Kosinski,R$ 1.5B,"8,2",2022
Jurassic world dominio,Aventura,Universal,Colin,R$ 1.0B,"5,6",2022
doutor estranho 2,Super heroi,Disney,Sam Raimi,R$ 956M,"6,9",2022
minions 2,Animação,Ilumantion,Kyle,R$ 939M,"6,5",2022
Homem aranha 3,Super heroi,Disney,Jon Watts,R$ 1.9B,"8,2",2021
the battle at lake,Drama,Chines,Kaige Chen,R$ 910M,"5,5",2021
no time to die,Aventura,Pinewood Studios,Cary Joji,R$ 774M,"7,3",2021
vingadores ultimato,Super heroi,Disney,Irmaos Russo,R$ 2.8B,"8,4",2019
rei leao,Aventura,Disney,Jon Favreau,R$ 1.7B,"6,8",2019
frozen 2,Animação,Disney,Chris Buck,R$ 1.5B,"6,8",2019
homem aranha 2,Super heroi,Disney,Chris McKenna,R$ 1.1B,"7,4",2019
capita marvel,Super heroi,Disney,Anna Boden,R$ 1.1B,"6,8",2019
Vingadores guerra infinita,Super heroi,Disney,Irmaos Russo,R$ 2.0B,"8,4",2018
pantera negra,Super heroi,Disney,Ryan Coogler,R$ 1.3B,"7,3",2018
jurassic world reino,Aventura,Universal,J.A Bayona,R$ 1.3B,"6,1",2018
os increveis 2,Animação,Disney,Brad Bird,R$ 1.2B,"7,5",2018
venom,Super heroi,Sony,Ruben Fleischer,R$ 853M,"6,6",2018
Tudo em Todo Lugar ao Mesmo Tempo (Vencedor),Aventura,A24,"Daniels (Daniel Kwan, Daniel Scheinert)",$141.5M,"9,3",2022
Os Fabelmans,Drama,Universal,Steven Spielberg,$45.5M,"9,2",2022
Tár,Drama,Focus Features,Todd Field,$6.3M,"9,1",2022
Top Gun: Maverick,Ação,Paramount ,Joseph Kosinski,$1.495B,"9,6",2022
Avatar: O Caminho da Água,Aventura,Disney,James Cameron,$2.32B,"7,6",2022
Os Banshees de Inisherin,Drama,Searchlight Pictures,Martin McDonagh,$50.1M,"9,6",2022
Nada de Novo no Front,Guerra,Netflix,Edward Berger,$1M,"9,2",2022
Entre Mulheres,Drama,United Artists Releasing,Sarah Polley,$8.3M,9,2022
No Ritmo do Coração (CODA) (Vencedor),Drama,Apple Studios,Siân Heder,$1.6M,"9,4",2021
Belfast,Drama,Focus Features,Kenneth Branagh,$49M,"8,6",2021
Não Olhe para Cima,Terror,Netflix,Adam McKay,$1M,"5,6",2021
Duna,Aventura,Warner Bros.,Denis Villeneuve,$400.7M,"8,3",2021
King Richard,Drama,Warner Bros.,Reinaldo Marcus Green,$39.4M,9,2021
Licorice Pizza,Comédia,MGM,Paul Thomas Anderson,$33M,"9,1",2021
O Beco do Pesadelo,Terror,Searchlight Pictures,Guillermo del Toro,$39.5M,8,2021
Ataque dos Cães,Suspense,Netflix,Jane Campion,$1M,"9,4",2021
Nomadland (Vencedor),Drama,Searchlight Pictures,Chloé Zhao,$39.5M,"9,3",2020
Meu Pai,Drama,Sony,Florian Zeller,$23.1M,"9,8",2020
Judas e o Messias Negro,Drama,Warner Bros.,Shaka King,$7.4M,"9,7",2020
Mank,Comédia,Netflix,David Fincher,$1M,"8,3",2020
Minari,Drama,A24,Lee Isaac Chung,$15.5M,"9,8",2020
Bela Vingança,Terror,Focus Features,Emerald Fennell,$16.8M,9,2020
O Som do Silêncio,Suspense,Amazon Studios,Darius Marder,$1M,"9,7",2020
Parasita (Vencedor),Suspense,CJ Entertainment,Bong Joon-ho,$263.1M,"9,8",2019
1917,Ação,Universal,Sam Mendes,$384.9M,"8,9",2019
Ford vs Ferrari,Esporte,Disney,James Mangold,$225.5M,"9,2",2019
O Irlandês,Drama,Netflix,Martin Scorsese,$1M,"9,6",2019
Jojo Rabbit,Comédia,Disney,Taika Waititi,$90.3M,8,2019
Coringa,Drama,Warner Bros.,Todd Phillips,$1.074B,"6,9",2019
Adoráveis Mulheres,Drama,Sony,Greta Gerwig,$218.9M,"9,5",2019
História de um Casamento,Drama,Netflix,Noah Baumbach,"$1,8M","9,4",2019
Green Book: O Guia (Vencedor),Drama,Universal,Peter Farrelly,$321.8M,"7,7",2018
Infiltrado na Klan,Suspense,Focus Features,Spike Lee,$93.4M,"9,6",2018
Nasce uma Estrela,Musical,Warner Bros.,Bradley Cooper,$436.2M,9,2018
Bohemian Rhapsody,Musical,Disney,Bryan Singer,$910.8M,6,2018
A Favorita,Drama,Disney,Yorgos Lanthimos,$95.9M,"9,3",2018
Vice,Drama,Annapurna Pictures,Adam McKay,$76M,"6,6",2018
Roma,Ação,Netflix,Alfonso Cuarón,$120M,"9,6",2018
Pantera Negra,Super heroi,Disney,Ryan Coogler,$1.347B,"9,6",2018